Month,Age Range,Classification,Category,Percentage %
Feb-15,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-15,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.1
Feb-15,People aged 15 - 24 years,Age of youngest child in household,With children aged under 15 years,43.1
Feb-15,People aged 15 - 24 years,Age of youngest child in household,   0 - 2 years,11.8
Feb-15,People aged 15 - 24 years,Age of youngest child in household,   3 - 4 years,4.2
Feb-15,People aged 15 - 24 years,Age of youngest child in household,   5 years,0.7
Feb-15,People aged 15 - 24 years,Age of youngest child in household,   6 - 9 years,9.2
Feb-15,People aged 15 - 24 years,Age of youngest child in household,   10 - 14 years,17.1
Feb-15,People aged 15 - 24 years,Age of youngest child in household,Without children aged under 15 years,56.9
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,Discouraged job seekers,6.9
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Considered too young or too old by employers,0.0
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.6
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.6
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Cultural background or language difficulties,0.8
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.7
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   No jobs in suitable hours,2.1
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,Personal reasons,25.0
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Own short-term illness or injury,2.3
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Own long-term health condition or disability,5.7
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Attending an educational institution,12.6
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Had no need or want to work,1.4
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.3
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Problems with access to transport,0.9
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Moved house or holidays,1.9
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,Family reasons,57.8
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,3.2
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Childcare,45.1
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,   Other family considerations,9.5
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,Other reasons,8.0
Feb-15,People aged 25 - 39 years,Reason did not actively look for work,Did not know,2.3
Feb-15,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,1.7
Feb-15,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",20.1
Feb-15,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Booked out or no places available,1.7
Feb-15,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Children too young or too old,7.4
Feb-15,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Prefers to look after children,10.7
Feb-15,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.2
Feb-15,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.3
Feb-15,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Other childcare reasons,2.0
Feb-15,People aged 25 - 39 years,Age of youngest child in household,With children aged under 15 years,76.4
Feb-15,People aged 25 - 39 years,Age of youngest child in household,   0 - 2 years,45.0
Feb-15,People aged 25 - 39 years,Age of youngest child in household,   3 - 4 years,16.7
Feb-15,People aged 25 - 39 years,Age of youngest child in household,   5 years,4.1
Feb-15,People aged 25 - 39 years,Age of youngest child in household,   6 - 9 years,9.0
Feb-15,People aged 25 - 39 years,Age of youngest child in household,   10 - 14 years,1.6
Feb-15,People aged 25 - 39 years,Age of youngest child in household,Without children aged under 15 years,23.6
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,Discouraged job seekers,10.0
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Considered too young or too old by employers,1.7
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.4
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.1
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Cultural background or language difficulties,1.2
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.7
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   No jobs in suitable hours,2.9
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,Personal reasons,38.8
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Own short-term illness or injury,5.0
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Own long-term health condition or disability,16.1
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Attending an educational institution,6.5
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Had no need or want to work,7.0
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Working in an unpaid voluntary job,1.4
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Problems with access to transport,1.2
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Moved house or holidays,1.5
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,Family reasons,36.0
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,6.7
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Childcare,21.0
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,   Other family considerations,8.2
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,Other reasons,11.1
Feb-15,People aged 40 - 54 years,Reason did not actively look for work,Did not know,4.1
Feb-15,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.3
Feb-15,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",7.4
Feb-15,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.6
Feb-15,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Children too young or too old,2.8
Feb-15,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Prefers to look after children,7.0
Feb-15,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,2.0
Feb-15,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-15,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Other childcare reasons,1.0
Feb-15,People aged 40 - 54 years,Age of youngest child in household,With children aged under 15 years,50.2
Feb-15,People aged 40 - 54 years,Age of youngest child in household,   0 - 2 years,8.3
Feb-15,People aged 40 - 54 years,Age of youngest child in household,   3 - 4 years,6.9
Feb-15,People aged 40 - 54 years,Age of youngest child in household,   5 years,3.5
Feb-15,People aged 40 - 54 years,Age of youngest child in household,   6 - 9 years,16.4
Feb-15,People aged 40 - 54 years,Age of youngest child in household,   10 - 14 years,15.0
Feb-15,People aged 40 - 54 years,Age of youngest child in household,Without children aged under 15 years,49.8
Feb-15,People aged 55 years and over,Reason did not actively look for work,Discouraged job seekers,27.1
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Considered too young or too old by employers,13.6
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.3
Feb-15,People aged 55 years and over,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.1
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Cultural background or language difficulties,0.6
Feb-15,People aged 55 years and over,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",8.3
Feb-15,People aged 55 years and over,Reason did not actively look for work,   No jobs in suitable hours,1.2
Feb-15,People aged 55 years and over,Reason did not actively look for work,Personal reasons,41.9
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Own short-term illness or injury,2.4
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Own long-term health condition or disability,12.2
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Attending an educational institution,1.8
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Had no need or want to work,19.3
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Working in an unpaid voluntary job,3.1
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Problems with access to transport,0.7
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Moved house or holidays,2.4
Feb-15,People aged 55 years and over,Reason did not actively look for work,Family reasons,11.1
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Caring for ill or elderly person or family member,5.5
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Childcare,2.3
Feb-15,People aged 55 years and over,Reason did not actively look for work,   Other family considerations,3.4
Feb-15,People aged 55 years and over,Reason did not actively look for work,Other reasons,18.1
Feb-15,People aged 55 years and over,Reason did not actively look for work,Did not know,1.7
Feb-15,People aged 55 years and over,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-15,People aged 55 years and over,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.7
Feb-15,People aged 55 years and over,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-15,People aged 55 years and over,Reason childcare is a barrier to looking for work,Children too young or too old,0.0
Feb-15,People aged 55 years and over,Reason childcare is a barrier to looking for work,Prefers to look after children,1.3
Feb-15,People aged 55 years and over,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-15,People aged 55 years and over,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-15,People aged 55 years and over,Reason childcare is a barrier to looking for work,Other childcare reasons,0.3
Feb-15,People aged 55 years and over,Age of youngest child in household,With children aged under 15 years,4.5
Feb-15,People aged 55 years and over,Age of youngest child in household,   0 - 2 years,0.9
Feb-15,People aged 55 years and over,Age of youngest child in household,   3 - 4 years,0.2
Feb-15,People aged 55 years and over,Age of youngest child in household,   5 years,0.7
Feb-15,People aged 55 years and over,Age of youngest child in household,   6 - 9 years,0.8
Feb-15,People aged 55 years and over,Age of youngest child in household,   10 - 14 years,1.8
Feb-15,People aged 55 years and over,Age of youngest child in household,Without children aged under 15 years,95.5
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,Discouraged job seekers,5.0
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Considered too young or too old by employers,0.2
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.2
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.2
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Cultural background or language difficulties,0.0
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.9
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   No jobs in suitable hours,0.3
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,Personal reasons,74.9
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Own short-term illness or injury,1.7
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Own long-term health condition or disability,4.6
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Attending an educational institution,61.7
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Had no need or want to work,1.2
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.0
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Problems with access to transport,1.1
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Moved house or holidays,4.6
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,Family reasons,8.3
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,0.1
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Childcare,5.5
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,   Other family considerations,2.6
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,Other reasons,8.6
Feb-16,People aged 15 - 24 years,Reason did not actively look for work,Did not know,3.3
Feb-16,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.2
Feb-16,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",2.8
Feb-16,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.3
Feb-16,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Children too young or too old,0.6
Feb-16,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Prefers to look after children,1.6
Feb-16,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-16,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-16,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.0
Feb-16,People aged 15 - 24 years,Age of youngest child in household,With children aged under 15 years,39.6
Feb-16,People aged 15 - 24 years,Age of youngest child in household,   0 - 2 years,9.1
Feb-16,People aged 15 - 24 years,Age of youngest child in household,   3 - 4 years,2.3
Feb-16,People aged 15 - 24 years,Age of youngest child in household,   5 years,3.0
Feb-16,People aged 15 - 24 years,Age of youngest child in household,   6 - 9 years,5.9
Feb-16,People aged 15 - 24 years,Age of youngest child in household,   10 - 14 years,19.3
Feb-16,People aged 15 - 24 years,Age of youngest child in household,Without children aged under 15 years,60.4
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,Discouraged job seekers,7.5
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Considered too young or too old by employers,0.3
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.6
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.6
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Cultural background or language difficulties,0.9
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",0.7
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   No jobs in suitable hours,2.2
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,Personal reasons,26.7
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Own short-term illness or injury,2.1
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Own long-term health condition or disability,7.3
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Attending an educational institution,12.2
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Had no need or want to work,2.3
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.0
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Problems with access to transport,0.0
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Moved house or holidays,2.7
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,Family reasons,56.5
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,2.8
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Childcare,45.1
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,   Other family considerations,8.6
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,Other reasons,7.5
Feb-16,People aged 25 - 39 years,Reason did not actively look for work,Did not know,1.9
Feb-16,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,1.3
Feb-16,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",16.7
Feb-16,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Booked out or no places available,1.6
Feb-16,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Children too young or too old,8.4
Feb-16,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Prefers to look after children,13.0
Feb-16,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,2.0
Feb-16,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.3
Feb-16,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Other childcare reasons,1.8
Feb-16,People aged 25 - 39 years,Age of youngest child in household,With children aged under 15 years,74.4
Feb-16,People aged 25 - 39 years,Age of youngest child in household,   0 - 2 years,40.3
Feb-16,People aged 25 - 39 years,Age of youngest child in household,   3 - 4 years,17.0
Feb-16,People aged 25 - 39 years,Age of youngest child in household,   5 years,5.8
Feb-16,People aged 25 - 39 years,Age of youngest child in household,   6 - 9 years,8.5
Feb-16,People aged 25 - 39 years,Age of youngest child in household,   10 - 14 years,2.8
Feb-16,People aged 25 - 39 years,Age of youngest child in household,Without children aged under 15 years,25.6
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,Discouraged job seekers,11.8
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Considered too young or too old by employers,1.0
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.8
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.3
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Cultural background or language difficulties,1.5
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",3.2
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   No jobs in suitable hours,3.0
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,Personal reasons,33.0
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Own short-term illness or injury,3.2
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Own long-term health condition or disability,14.2
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Attending an educational institution,7.0
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Had no need or want to work,7.5
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.3
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Problems with access to transport,0.3
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Moved house or holidays,0.5
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,Family reasons,40.5
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,10.5
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Childcare,19.0
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,   Other family considerations,11.0
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,Other reasons,10.1
Feb-16,People aged 40 - 54 years,Reason did not actively look for work,Did not know,4.6
Feb-16,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,1.1
Feb-16,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",4.1
Feb-16,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.8
Feb-16,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Children too young or too old,1.1
Feb-16,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Prefers to look after children,8.7
Feb-16,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.7
Feb-16,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.2
Feb-16,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Other childcare reasons,1.3
Feb-16,People aged 40 - 54 years,Age of youngest child in household,With children aged under 15 years,54.3
Feb-16,People aged 40 - 54 years,Age of youngest child in household,   0 - 2 years,6.1
Feb-16,People aged 40 - 54 years,Age of youngest child in household,   3 - 4 years,7.0
Feb-16,People aged 40 - 54 years,Age of youngest child in household,   5 years,6.8
Feb-16,People aged 40 - 54 years,Age of youngest child in household,   6 - 9 years,17.2
Feb-16,People aged 40 - 54 years,Age of youngest child in household,   10 - 14 years,17.3
Feb-16,People aged 40 - 54 years,Age of youngest child in household,Without children aged under 15 years,45.7
Feb-16,People aged 55 years and over,Reason did not actively look for work,Discouraged job seekers,25.6
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Considered too young or too old by employers,16.7
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.3
Feb-16,People aged 55 years and over,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.0
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Cultural background or language difficulties,2.4
Feb-16,People aged 55 years and over,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",3.8
Feb-16,People aged 55 years and over,Reason did not actively look for work,   No jobs in suitable hours,0.5
Feb-16,People aged 55 years and over,Reason did not actively look for work,Personal reasons,44.7
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Own short-term illness or injury,4.4
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Own long-term health condition or disability,12.8
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Attending an educational institution,1.9
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Had no need or want to work,20.1
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Working in an unpaid voluntary job,3.4
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Problems with access to transport,0.3
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Moved house or holidays,1.9
Feb-16,People aged 55 years and over,Reason did not actively look for work,Family reasons,13.9
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Caring for ill or elderly person or family member,6.3
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Childcare,1.2
Feb-16,People aged 55 years and over,Reason did not actively look for work,   Other family considerations,6.5
Feb-16,People aged 55 years and over,Reason did not actively look for work,Other reasons,13.5
Feb-16,People aged 55 years and over,Reason did not actively look for work,Did not know,2.2
Feb-16,People aged 55 years and over,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-16,People aged 55 years and over,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.0
Feb-16,People aged 55 years and over,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-16,People aged 55 years and over,Reason childcare is a barrier to looking for work,Children too young or too old,0.0
Feb-16,People aged 55 years and over,Reason childcare is a barrier to looking for work,Prefers to look after children,0.6
Feb-16,People aged 55 years and over,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-16,People aged 55 years and over,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-16,People aged 55 years and over,Reason childcare is a barrier to looking for work,Other childcare reasons,0.6
Feb-16,People aged 55 years and over,Age of youngest child in household,With children aged under 15 years,7.4
Feb-16,People aged 55 years and over,Age of youngest child in household,   0 - 2 years,1.7
Feb-16,People aged 55 years and over,Age of youngest child in household,   3 - 4 years,0.7
Feb-16,People aged 55 years and over,Age of youngest child in household,   5 years,0.3
Feb-16,People aged 55 years and over,Age of youngest child in household,   6 - 9 years,1.1
Feb-16,People aged 55 years and over,Age of youngest child in household,   10 - 14 years,3.7
Feb-16,People aged 55 years and over,Age of youngest child in household,Without children aged under 15 years,92.6
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,Discouraged job seekers,8.0
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Considered too young or too old by employers,0.5
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.5
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.9
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Cultural background or language difficulties,0.2
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",3.3
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   No jobs in suitable hours,0.6
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,Personal reasons,73.8
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Own short-term illness or injury,0.9
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Own long-term health condition or disability,3.0
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Attending an educational institution,64.5
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Had no need or want to work,1.4
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.4
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Problems with access to transport,0.8
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Moved house or holidays,2.9
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,Family reasons,8.9
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,1.0
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Childcare,6.2
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,   Other family considerations,1.6
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,Other reasons,6.9
Feb-17,People aged 15 - 24 years,Reason did not actively look for work,Did not know,2.3
Feb-17,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.2
Feb-17,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",2.4
Feb-17,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-17,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Children too young or too old,2.7
Feb-17,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Prefers to look after children,0.8
